date,code,name,12m_low,12m_high,day_low,day_high,day_price,previous,volume
2007-01-02,KCB,Kenya Commercial Bank,21.75,44,220,260,243,238,"225,900"
2007-01-03,KCB,Kenya Commercial Bank,21.75,44,245,275,256,243,"462,200"
2007-01-04,KCB,Kenya Commercial Bank,21.75,44,258,282,268,256,"326,200"
2007-01-05,KCB,Kenya Commercial Bank,21.75,44,261,275,269,268,"328,500"
2007-01-08,KCB,Kenya Commercial Bank,21.75,44,262,275,270,269,"292,100"
2007-01-09,KCB,Kenya Commercial Bank,21.75,44,260,275,268,270,"380,300"
2007-01-10,KCB,Kenya Commercial Bank,21.75,44,252,270,260,268,"159,200"
2007-01-11,KCB,Kenya Commercial Bank,21.75,44,255,269,260,260,"105,900"
2007-01-12,KCB,Kenya Commercial Bank,21.75,44,260,280,269,260,"431,800"
2007-01-15,KCB,Kenya Commercial Bank,21.75,44,260,271,267,269,"264,600"
2007-01-16,KCB,Kenya Commercial Bank,21.75,44,261,271,269,267,"307,800"
2007-01-17,KCB,Kenya Commercial Bank,21.75,44,260,270,265,269,"221,200"
2007-01-18,KCB,Kenya Commercial Bank,21.75,44,250,266,261,265,"175,600"
2007-01-19,KCB,Kenya Commercial Bank,21.75,44,255,264,260,261,"317,200"
2007-01-22,KCB,Kenya Commercial Bank,21.75,44,246,265,261,260,"295,400"
2007-01-23,KCB,Kenya Commercial Bank,21.75,44,255,265,260,261,"180,700"
2007-01-24,KCB,Kenya Commercial Bank,21.75,44,250,260,255,260,"115,500"
2007-01-25,KCB,Kenya Commercial Bank,21.75,44,240,260,247,255,"117,000"
2007-01-26,KCB,Kenya Commercial Bank,21.75,44,228,250,235,247,"261,900"
2007-01-29,KCB,Kenya Commercial Bank,21.75,44,240,252,245,235,"177,500"
2007-01-30,KCB,Kenya Commercial Bank,21.75,44,236,250,242,245,"153,800"
2007-01-31,KCB,Kenya Commercial Bank,21.75,44,220,240,234,242,"136,900"
2007-02-01,KCB,Kenya Commercial Bank,21.75,44,220,235,225,234,"148,700"
2007-02-02,KCB,Kenya Commercial Bank,21.75,44,223,230,226,225,"233,000"
2007-02-05,KCB,Kenya Commercial Bank,21.75,44,220,232,225,226,"339,800"
2007-02-06,KCB,Kenya Commercial Bank,21.75,44,225,230,227,225,"125,200"
2007-02-07,KCB,Kenya Commercial Bank,21.75,44,225,240,230,227,"358,000"
2007-02-08,KCB,Kenya Commercial Bank,21.75,44,230,242,238,230,"72,300"
2007-02-09,KCB,Kenya Commercial Bank,21.75,44,235,250,237,238,"272,300"
2007-02-12,KCB,Kenya Commercial Bank,21.75,44,238,260,253,237,"199,500"
2007-02-13,KCB,Kenya Commercial Bank,21.75,44,258,270,263,253,"221,300"
2007-02-14,KCB,Kenya Commercial Bank,21.75,44,256,270,264,263,"296,400"
2007-02-15,KCB,Kenya Commercial Bank,21.75,44,242,270,253,264,"138,600"
2007-02-16,KCB,Kenya Commercial Bank,21.75,44,250,260,255,253,"174,600"
2007-02-19,KCB,Kenya Commercial Bank,21.75,44,245,265,252,255,"255,200"
2007-02-20,KCB,Kenya Commercial Bank,21.75,44,236,250,247,252,"120,900"
2007-02-21,KCB,Kenya Commercial Bank,21.75,44,240,250,245,247,"153,000"
2007-02-22,KCB,Kenya Commercial Bank,21.75,44,230,245,240,245,"168,200"
2007-02-23,KCB,Kenya Commercial Bank,21.75,44,230,242,235,240,"211,200"
2007-02-26,KCB,Kenya Commercial Bank,21.75,44,220,250,229,235,"185,200"
2007-02-27,KCB,Kenya Commercial Bank,21.75,44,220,226,225,229,"207,300"
2007-02-28,KCB,Kenya Commercial Bank,21.75,44,202,225,213,225,"136,700"
2007-03-01,KCB,Kenya Commercial Bank,21.75,44,210,227,222,213,"278,000"
2007-03-02,KCB,Kenya Commercial Bank,21.75,44,212,249,236,222,"1,060,000"
2007-03-05,KCB,Kenya Commercial Bank,21.75,44,225,243,232,236,"230,400"
2007-03-06,KCB,Kenya Commercial Bank,21.75,44,220,240,226,232,"195,500"
2007-03-07,KCB,Kenya Commercial Bank,21.75,44,215,230,222,226,"274,000"
2007-03-08,KCB,Kenya Commercial Bank,21.75,44,215,224,218,222,"606,600"
2007-03-09,KCB,Kenya Commercial Bank,21.75,44,215,224,222,218,"245,600"
2007-03-12,KCB,Kenya Commercial Bank,21.75,44,215,224,220,222,"111,400"
2007-03-13,KCB,Kenya Commercial Bank,21.75,44,215,223,220,220,"225,500"
2007-03-14,KCB,Kenya Commercial Bank,21.75,44,216,224,220,220,"58,200"
2007-03-15,KCB,Kenya Commercial Bank,21.75,44,212,225,218,220,"310,700"
2007-03-16,KCB,Kenya Commercial Bank,21.75,44,211,222,220,218,"553,400"
2007-03-19,KCB,Kenya Commercial Bank,21.75,44,211,222,220,220,"180,000"
2007-03-20,KCB,Kenya Commercial Bank,21.75,44,215,221,219,220,"116,900"
2007-03-21,KCB,Kenya Commercial Bank,21.75,44,195,216,207,219,"62,800"
2007-03-22,KCB,Kenya Commercial Bank,21.75,44,179,213,197,207,"173,400"
2007-03-23,KCB,Kenya Commercial Bank,21.75,44,167,180,174,197,"97,700"
2007-03-26,KCB,Kenya Commercial Bank,21.75,44,165,180,173,174,"269,400"
2007-03-27,KCB,Kenya Commercial Bank,21.75,44,170,190,176,173,"521,100"
2007-03-28,KCB,Kenya Commercial Bank,21.75,44,182,196,192,176,"66,800"
2007-03-29,KCB,Kenya Commercial Bank,21.75,44,201,215,214,192,"72,700"
2007-03-30,KCB,Kenya Commercial Bank,21.75,44,215,236,227,214,"444,400"
2007-04-02,KCB,Kenya Commercial Bank,21.75,44,201,230,212,227,"198,700"
2007-04-03,KCB,Kenya Commercial Bank,21.75,44,17,24,22.5,212,"749,500"
2007-04-04,KCB,Kenya Commercial Bank,21.75,44,23.75,25,24.75,22.5,"1,760,000"
2007-04-05,KCB,Kenya Commercial Bank,21.75,44,23.5,27,25,24.75,"1,410,000"
2007-04-10,KCB,Kenya Commercial Bank,21.75,44,23.5,27.5,24.75,25,"888,700"
2007-04-11,KCB,Kenya Commercial Bank,21.75,44,24.25,27,24.75,24.75,"892,100"
2007-04-12,KCB,Kenya Commercial Bank,21.75,44,23,25,24.75,24.75,"809,600"
2007-04-13,KCB,Kenya Commercial Bank,21.75,44,24.5,27,25,24.75,"843,800"
2007-04-16,KCB,Kenya Commercial Bank,21.75,44,24.25,26,25.25,25,"225,700"
2007-04-17,KCB,Kenya Commercial Bank,21.75,44,23.75,26,25,25.25,"636,900"
2007-04-18,KCB,Kenya Commercial Bank,21.75,44,24,25,24.75,25,"329,500"
2007-04-19,KCB,Kenya Commercial Bank,21.75,44,22.5,25,24,24.75,"453,400"
2007-04-20,KCB,Kenya Commercial Bank,21.75,44,23,26,25,24,"170,100"
2007-04-23,KCB,Kenya Commercial Bank,21.75,44,23.25,26,24.25,25,"793,500"
2007-04-24,KCB,Kenya Commercial Bank,21.75,44,23,26,24.75,24.25,"1,600,000"
2007-04-25,KCB,Kenya Commercial Bank,21.75,44,23.5,25,24.5,24.75,"429,800"
2007-04-26,KCB,Kenya Commercial Bank,21.75,44,23.5,25,24,24.5,"310,200"
2007-04-27,KCB,Kenya Commercial Bank,21.75,44,24,26,24.5,24,"685,500"
2007-04-30,KCB,Kenya Commercial Bank,21.75,44,23,26,25.25,24.5,"555,900"
2007-05-02,KCB,Kenya Commercial Bank,21.75,44,25,27.5,25,25.25,"1,940,000"
2007-05-03,KCB,Kenya Commercial Bank,21.75,44,24.25,26,25,25,"496,300"
2007-05-04,KCB,Kenya Commercial Bank,21.75,44,24,26,25,25,"281,200"
2007-05-07,KCB,Kenya Commercial Bank,21.75,44,24,26,25.25,25,"197,500"
2007-05-08,KCB,Kenya Commercial Bank,21.75,44,23.75,26,25,25.25,"205,900"
2007-05-09,KCB,Kenya Commercial Bank,21.75,44,25,26.5,25.75,25,"397,500"
2007-05-10,KCB,Kenya Commercial Bank,21.75,44,25.5,26.5,25.75,25.75,"142,700"
2007-05-11,KCB,Kenya Commercial Bank,21.75,44,25.5,26,25.75,25.75,"263,500"
2007-05-14,KCB,Kenya Commercial Bank,21.75,44,24.5,26,25,25.75,"975,400"
2007-05-15,KCB,Kenya Commercial Bank,21.75,44,24,25,24.75,25,"344,100"
2007-05-16,KCB,Kenya Commercial Bank,21.75,44,24,25,24.5,24.75,"424,800"
2007-05-17,KCB,Kenya Commercial Bank,21.75,44,23.75,25,24.5,24.5,"536,100"
2007-05-18,KCB,Kenya Commercial Bank,21.75,44,22.5,25,24.5,24.5,"292,100"
2007-05-21,KCB,Kenya Commercial Bank,21.75,44,23,26.5,24.5,24.5,"751,700"
2007-05-22,KCB,Kenya Commercial Bank,21.75,44,23.5,25,24.5,24.5,"138,200"
2007-05-23,KCB,Kenya Commercial Bank,21.75,44,24,25,24.5,24.5,"695,700"
2007-05-24,KCB,Kenya Commercial Bank,21.75,44,23.75,25,24.5,24.5,"1,700,000"
2007-05-25,KCB,Kenya Commercial Bank,21.75,44,23.75,24.5,24.25,24.5,"289,700"
2007-05-28,KCB,Kenya Commercial Bank,21.75,44,22.75,24.5,24,24.25,"484,100"
2007-05-29,KCB,Kenya Commercial Bank,21.75,44,22,24,23.25,24,"670,000"
2007-05-30,KCB,Kenya Commercial Bank,21.75,44,22,25,23.25,23.25,"280,600"
2007-05-31,KCB,Kenya Commercial Bank,21.75,44,23,25,23.5,23.25,"254,600"
2007-06-04,KCB,Kenya Commercial Bank,21.75,44,22.25,25,23.25,23.5,"374,900"
2007-06-05,KCB,Kenya Commercial Bank,21.75,44,22.25,24,23.25,23.25,"591,200"
2007-06-06,KCB,Kenya Commercial Bank,21.75,44,22,24,23.5,23.25,"1,110,000"
2007-06-07,KCB,Kenya Commercial Bank,21.75,44,21.5,23.75,22.75,23.5,"1,630,000"
2007-06-08,KCB,Kenya Commercial Bank,21.75,44,22,23.5,23,22.75,"129,000"
2007-06-11,KCB,Kenya Commercial Bank,21.75,44,21.25,24,23.5,23,"583,900"
2007-06-12,KCB,Kenya Commercial Bank,21.75,44,23,24.5,23.5,23.5,"380,900"
2007-06-13,KCB,Kenya Commercial Bank,21.75,44,23.5,24.5,23.75,23.5,"213,900"
2007-06-14,KCB,Kenya Commercial Bank,21.75,44,22.25,24.25,24,23.75,"587,600"
2007-06-15,KCB,Kenya Commercial Bank,21.75,44,23.5,25,24,24,"788,800"
2007-06-18,KCB,Kenya Commercial Bank,21.75,44,23.5,24.75,24,24,"439,500"
2007-06-19,KCB,Kenya Commercial Bank,21.75,44,24,25,24.5,24,"457,700"
2007-06-20,KCB,Kenya Commercial Bank,21.75,44,24,25.75,24.75,24.5,"314,400"
2007-06-21,KCB,Kenya Commercial Bank,21.75,44,24,25.5,24.75,24.75,"234,600"
2007-06-22,KCB,Kenya Commercial Bank,21.75,44,24,24.75,24.25,24.75,"434,200"
2007-06-25,KCB,Kenya Commercial Bank,21.75,44,21.75,24,22.5,24.25,"6,240,000"
2007-06-26,KCB,Kenya Commercial Bank,21.75,44,20,23.5,21.25,22.5,"6,360,000"
2007-06-27,KCB,Kenya Commercial Bank,21.75,44,21.75,24.75,22.25,21.25,"4,490,000"
2007-06-28,KCB,Kenya Commercial Bank,21.75,44,21.5,23.75,22.5,22.25,"3,650,000"
2007-06-29,KCB,Kenya Commercial Bank,21.75,44,22,24.75,23.5,22.5,"1,390,000"
2007-07-02,KCB,Kenya Commercial Bank,21.75,44,22.5,24,23.5,23.5,"772,500"
2007-07-03,KCB,Kenya Commercial Bank,21.75,44,23.5,24.5,23.75,23.5,"1,270,000"
2007-07-04,KCB,Kenya Commercial Bank,21.75,44,24,25,24.25,23.75,"3,010,000"
2007-07-05,KCB,Kenya Commercial Bank,21.75,44,22.75,26.5,24.5,24.25,"4,240,000"
2007-07-06,KCB,Kenya Commercial Bank,21.75,44,23,25,23.75,24.5,"2,300,000"
2007-07-09,KCB,Kenya Commercial Bank,21.75,44,23,24,23.25,23.75,"1,990,000"
2007-07-10,KCB,Kenya Commercial Bank,21.75,44,21,24,23,23.25,"4,530,000"
2007-07-11,KCB,Kenya Commercial Bank,21.75,44,23,25.25,23.25,23,"2,680,000"
2007-07-12,KCB,Kenya Commercial Bank,21.75,44,23,24.25,23.75,23.25,"1,470,000"
2007-07-13,KCB,Kenya Commercial Bank,21.75,44,21.5,25,24,23.75,"1,130,000"
2007-07-16,KCB,Kenya Commercial Bank,21.75,44,24,25,24.25,24,"1,110,000"
2007-07-17,KCB,Kenya Commercial Bank,21.75,44,24,25,24.75,24.25,"1,280,000"
2007-07-18,KCB,Kenya Commercial Bank,21.75,44,24,27,25.5,24.75,"1,820,000"
2007-07-19,KCB,Kenya Commercial Bank,21.75,44,25,28,25.75,25.5,"1,050,000"
2007-07-20,KCB,Kenya Commercial Bank,21.75,44,25.5,28.25,25.75,25.75,"936,300"
2007-07-23,KCB,Kenya Commercial Bank,21.75,44,25.75,28.25,26,25.75,"1,200,000"
2007-07-24,KCB,Kenya Commercial Bank,21.75,44,23.5,27.75,26.5,26,"1,480,000"
2007-07-25,KCB,Kenya Commercial Bank,21.75,44,26.5,29,26.75,26.5,"2,440,000"
2007-07-26,KCB,Kenya Commercial Bank,21.75,44,27,28,27.25,26.75,"1,160,000"
2007-07-27,KCB,Kenya Commercial Bank,21.75,44,26.75,28,27.25,27.25,"3,120,000"
